Timestamp,Open,High,Low,Close
1651865040,296.304,296.338,296.276,296.3
1651865100,296.3,296.323,296.249,296.278
1651865160,296.266,296.277,296.233,296.27
1651865220,296.27,296.358,296.268,296.323
1651865280,296.323,296.336,296.287,296.336
1651865340,296.336,296.359,296.308,296.349
1651865400,296.349,296.397,296.347,296.372
1651865460,296.37,296.429,296.361,296.412
1651865520,296.41,296.441,296.369,296.427
1651865580,296.419,296.449,296.391,296.449
1651865640,296.447,296.515,296.426,296.513
1651865700,296.511,296.546,296.497,296.527
1651865760,296.525,296.529,296.436,296.437
1651865820,296.449,296.464,296.427,296.452
1651865880,296.449,296.452,296.384,296.421
1651865940,296.422,296.5,296.401,296.486
1651866000,296.469,296.469,296.398,296.398
1651866060,296.398,296.417,296.31,296.31
1651866120,296.307,296.317,296.283,296.297
1651866180,296.297,296.335,296.284,296.327
1651866240,296.327,296.335,296.294,296.294
1651866300,296.294,296.322,296.245,296.254
1651866360,296.255,296.291,296.23,296.245
1651866420,296.245,296.259,296.222,296.226
1651866480,296.224,296.309,296.216,296.292
1651866540,296.292,296.302,296.258,296.274
1651866600,296.272,296.272,296.193,296.216
1651866660,296.214,296.259,296.192,296.259
1651866720,296.265,296.317,296.232,296.244
1651866780,296.244,296.284,296.226,296.244
1651866840,296.242,296.283,296.225,296.281
1651866900,296.279,296.279,296.181,296.181
1651866960,296.181,296.183,296.105,296.124
1651867020,296.131,296.131,296.011,296.03
1651867080,296.032,296.034,295.966,296.01
1651867140,296.007,296.022,295.987,296
1651867200,296.002,296.013,295.972,295.988
1651867260,295.984,296.011,295.976,295.987
1651867320,295.988,296.038,295.952,295.957
1651867380,295.957,295.983,295.939,295.959
1651867440,295.959,295.995,295.942,295.993
1651867500,295.995,295.995,295.93,295.941
1651867560,295.941,295.942,295.845,295.864
1651867620,295.864,295.929,295.864,295.894
1651867680,295.898,295.9,295.838,295.842
1651867740,295.842,295.895,295.833,295.886
1651867800,295.886,295.889,295.819,295.827
1651867860,295.822,295.874,295.816,295.859
1651867920,295.859,295.864,295.821,295.864
1651867980,295.863,295.887,295.854,295.872
1651868040,295.869,295.977,295.861,295.977
1651868100,295.98,295.985,295.933,295.954
1651868160,295.954,295.98,295.917,295.957
1651868220,295.957,296.002,295.929,295.933
1651868280,295.93,295.936,295.887,295.936
1651868340,295.939,295.953,295.886,295.89
1651868400,295.892,295.925,295.884,295.915
1651868460,295.917,295.941,295.885,295.916
1651868520,295.916,295.924,295.859,295.869
1651868580,295.871,295.878,295.834,295.862
1651868640,295.868,295.87,295.781,295.844
1651868700,295.846,295.87,295.816,295.825
1651868760,295.831,295.929,295.817,295.922
1651868820,295.922,295.922,295.887,295.911
1651868880,295.911,295.922,295.827,295.862
1651868940,295.862,295.864,295.794,295.796
1651869000,295.792,295.869,295.792,295.847
1651869060,295.848,295.868,295.768,295.768
1651869120,295.768,295.81,295.766,295.783
1651869180,295.783,295.812,295.761,295.761
1651869240,295.762,295.852,295.758,295.852
1651869300,295.852,295.93,295.852,295.902
1651869360,295.904,295.904,295.834,295.851
1651869420,295.853,295.867,295.804,295.804
1651869480,295.804,295.804,295.729,295.731
1651869540,295.736,295.736,295.67,295.67
1651869600,295.668,295.668,295.611,295.619
1651869660,295.617,295.632,295.583,295.615
1651869720,295.611,295.641,295.603,295.615
1651869780,295.613,295.638,295.613,295.62
1651869840,295.62,295.644,295.603,295.629
1651869900,295.626,295.668,295.601,295.654
1651869960,295.654,295.686,295.649,295.651
1651870020,295.651,295.656,295.577,295.584
1651870080,295.589,295.596,295.524,295.53
1651870140,295.53,295.537,295.488,295.499
1651870200,295.501,295.514,295.446,295.446
1651870260,295.448,295.456,295.432,295.446
1651870320,295.446,295.469,295.423,295.441
1651870380,295.439,295.439,295.371,295.422
1651870440,295.422,295.453,295.38,295.38
1651870500,295.382,295.413,295.373,295.389
1651870560,295.389,295.399,295.334,295.354
1651870620,295.354,295.394,295.343,295.37
1651870680,295.367,295.401,295.322,295.362
1651870740,295.362,295.362,295.285,295.354
1651870800,295.354,295.374,295.336,295.351
1651870860,295.358,295.4,295.335,295.335
1651870920,295.332,295.335,295.293,295.308
1651870980,295.305,295.33,295.286,295.295
1651871040,295.295,295.351,295.281,295.344
1651871100,295.346,295.369,295.305,295.309
1651871160,295.314,295.328,295.241,295.271
1651871220,295.268,295.304,295.236,295.267
1651871280,295.263,295.278,295.233,295.238
1651871340,295.245,295.255,295.155,295.171
1651871400,295.169,295.207,295.129,295.205
1651871460,295.205,295.218,295.156,295.188
1651871520,295.192,295.214,295.179,295.205
1651871580,295.207,295.216,295.136,295.142
1651871640,295.142,295.209,295.129,295.182
1651871700,295.18,295.211,295.15,295.21
